"Date";"CampaignId";"DeviceTypeId";"CampaignName";"Clicks";"Shows";"Budget";"CampaignType";"AdNetworkType"
01.10.2020;55473545;1;"CampaignName_3";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55473545;1;"CampaignName_3";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474023;1;"CampaignName_7";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474113;1;"CampaignName_5";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;1;"CampaignName_4";0,0;6,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;1;"CampaignName_4";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;1;"CampaignName_4";0,0;4,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;1;"CampaignName_4";0,0;4,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;1;"CampaignName_4";0,0;4,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;1;"CampaignName_4";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;1;"CampaignName_4";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;1;"CampaignName_4";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474687;2;"CampaignName_4";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474761;1;"CampaignName_2";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474761;1;"CampaignName_2";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474882;1;"CampaignName_8";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474882;1;"CampaignName_8";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474882;1;"CampaignName_8";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474882;1;"CampaignName_8";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474882;1;"CampaignName_8";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55474882;1;"CampaignName_8";0,0;3,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;6,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
01.10.2020;55475273;1;"CampaignName_6";0,0;1,0;0,0;"MCBANNER_CAMPAIGN";"SEARCH"
